GitHub Multilanguage Quantum Projects Search Summary
====================================================
Summary generated on: 2026-04-13 21:54:43
Languages targeted: julia, c++, rust, java, javascript, typescript, q#, go, haskell, scala, matlab, fortran

--- Overall Statistics ---
Total unique projects found (candidates): 790
Projects filtered out:                    752
EarlOld/quantum-coin-game                                                            Not enough stars (0 < 30)
EarlOld/quantum.js                                                                   Not enough stars (7 < 30)
eddieschoute/TeleportRouter.jl                                                       Not enough stars (4 < 30)
edegens/ptype                                                                        Not enough stars (2 < 30)
ediparquantum/VeriQuEST.jl                                                           Not enough stars (2 < 30)
EdwardCalzia/Vibrational-Spectroscopy-of-Organic-Molecules                           Not enough stars (1 < 30)
egemert-dogan/quantum_simulations                                                    Not enough stars (1 < 30)
eigenvue/eigenvue                                                                    Not enough stars (1 < 30)
ekera/qunundrum                                                                      Not enough stars (4 < 30)
ElsevierSoftwareX/SOFTX-D-21-00014                                                   Not enough stars (3 < 30)
emadzhuninska/qsharp-examples                                                        Not enough stars (0 < 30)
emirkaanozdemr/Q-Sharp-Example-Creating-a-Qubit-Superposition-and-Measuring-It       Not enough stars (3 < 30)
emirkaanozdemr/Some-Useful-Mathematical-Operations-for-Complex-Numbers-with-Q-Sharp  Not enough stars (5 < 30)
EMMA019/Quantum-Simulator                                                            Not enough stars (0 < 30)
eneswritescode/deadbolt                                                              Not enough stars (5 < 30)
ENKI-420/aura-cli                                                                    Not enough stars (0 < 30)
ENKI-420/dnalang-website                                                             Not enough stars (0 < 30)
entangled-xyz/scotty                                                                 Not enough stars (25 < 30)
entron/snake-dmrg                                                                    Not enough stars (8 < 30)
epiqc/ScaffCC                                                                        Inactive since 2021-09-28
eQuantumOS/QPlayer                                                                   Not enough stars (11 < 30)
erendemirel/quantum-error-analyzer                                                   Not enough stars (0 < 30)
ErialdoDFreitas/quantumComputing                                                     Not enough stars (3 < 30)
Ershadulhaque05/DCT_EFRQI                                                            Not enough stars (1 < 30)
euler16/Qu.js                                                                        Not enough stars (15 < 30)
evangipson/rquant                                                                    Not enough stars (1 < 30)
evanhockings/QuantumACES.jl                                                          Not enough stars (29 < 30)
evenmn/VMaChine                                                                      Not enough stars (4 < 30)
fcristallocagnoli/Quantum-Proxy                                                      Not enough stars (1 < 30)
FedericoQuartieri/Quantum-Knapsack                                                   Not enough stars (2 < 30)
fedimser/quant-arith-re                                                              Not enough stars (9 < 30)
ferasshita/Qunova-team                                                               Not enough stars (0 < 30)
filipw/intro-to-qc-with-qsharp-book                                                  Not enough stars (9 < 30)
filipw/qsharp-examples                                                               Not enough stars (4 < 30)
fmentink/fastExpm                                                                    Not enough stars (5 < 30)
fmentink/FastExpm.jl                                                                 Inactive since 2022-03-08
fmozafari/angel                                                                      Not enough stars (12 < 30)
frankwswang/QMPS.jl                                                                  Not enough stars (11 < 30)
fuentesigma/quantumlab                                                               Not enough stars (3 < 30)
fullscreen-triangle/kambuzuma                                                        Not enough stars (0 < 30)
fvalle1/bb84_simulation                                                              Archived repository
fwcd/quantumcore                                                                     Not enough stars (4 < 30)
fwcd/quantumflow                                                                     Not enough stars (1 < 30)
gabe-frasz/fk.quantum-network                                                        Not enough stars (0 < 30)
gamberoillecito/unBLOCHed                                                            Not enough stars (18 < 30)
GavinBurnett/qrc                                                                     Not enough stars (2 < 30)
GDufenshuoo/SuperfluidRotSpec.jl                                                     Archived repository
GeneralQuarter/q-sim                                                                 Not enough stars (0 < 30)
gl3nnleblanc/qusp                                                                    Not enough stars (0 < 30)
glanzz/blochtrace                                                                    Not enough stars (0 < 30)
Glavnokoman/quda                                                                     Archived repository
GodChatCapital/zeus-library                                                          Not enough stars (2 < 30)
grageragarces/JSoC22                                                                 Archived repository
GraphQuantum/QuantumStateTransfer.jl                                                 Not enough stars (0 < 30)
GraphQuantum/SDiagonalizability.jl                                                   Not enough stars (0 < 30)
graphstatevis/codebase                                                               Not enough stars (3 < 30)
GroovinDev/return-to                                                                 Not enough stars (1 < 30)
GTorlai/PastaQ.jl                                                                    Inactive since 2024-05-17
GubioGL/q-learning                                                                   Not enough stars (0 < 30)
Guillaume-amann/Quantum                                                              Not enough stars (0 < 30)
Guillex387/one-time-pad                                                              Not enough stars (0 < 30)
GuiTeNet/guitenet                                                                    Not enough stars (12 < 30)
guochu/VQC.jl                                                                        Not enough stars (17 < 30)
Guppster/LanguageNeutralityBioWearableQuantumSearcher                                Not enough stars (1 < 30)
GXhelsinki/Clebsch-Gordan-Coefficients-                                              Not enough stars (2 < 30)
HABER7789/qre-studio                                                                 Not enough stars (0 < 30)
Hacker21-punk/pqscan                                                                 Not enough stars (1 < 30)
Haimasker/Grover-search-algorithm                                                    Not enough stars (4 < 30)
Haimasker/Qubit                                                                      Not enough stars (5 < 30)
hajifkd/rusq                                                                         Not enough stars (23 < 30)
hallucinaut/quantum-guard                                                            Not enough stars (0 < 30)
hallucinaut/quantumsec                                                               Not enough stars (0 < 30)
hardikbansal/EntanglementCostMathematica                                             Not enough stars (0 < 30)
harmoniqs/Piccolo.jl                                                                 Not enough contributors (9 < 10)
harshangrjn/QuantumCircuitOpt.jl                                                     Not enough contributors (4 < 10)
hashim21223445/Andoka-Cloud.morni                                                    Not enough stars (1 < 30)
hashim21223445/solid-quickstart-Andoka-now                                           Not enough stars (1 < 30)
HedasLaMenace/Quantum-Machine-Learning                                               Not enough stars (1 < 30)
heet25itachi/SOLIS-PROJECT                                                           Not enough stars (3 < 30)
heriantolim/FluxQon                                                                  Not enough stars (5 < 30)
hiibolt/qsharp_rs                                                                    Not enough stars (1 < 30)
hittall/quantum-lab-circuit                                                          Not enough stars (0 < 30)
hmunozb/qrs                                                                          Not enough stars (1 < 30)
HPQC-LABS/FeynDyn                                                                    Not enough stars (25 < 30)
HPQC-LABS/Quantum_Error_Mitigation_on_IBM                                            Not enough stars (0 < 30)
HQSquantumsimulations/qoqo_calculator                                                Not enough stars (4 < 30)
hrstm/should-i-go-to-wendys                                                          Not enough stars (4 < 30)
hsinyuan-huang/certify-quantum-states                                                Not enough stars (11 < 30)
hstoltz/ZX-sketch                                                                    Not enough stars (1 < 30)
Htraez/ExeQu                                                                         Not enough stars (8 < 30)
Hugo-loio/TIM                                                                        Not enough stars (7 < 30)
hugopstackhouse/MPSTime.jl                                                           Not enough stars (24 < 30)
huynh-alex/quantum-stocks                                                            Not enough stars (1 < 30)
hviana/js-quantum                                                                    Not enough stars (2 < 30)
hydroo/quash                                                                         Not enough stars (1 < 30)
IceKhan13/QiskitFlow                                                                 Not enough stars (11 < 30)
ichbingautam/QMitigate                                                               Not enough stars (2 < 30)
iD01tLab/iD01tLab.github.io                                                          Not enough stars (0 < 30)
IDouble/Trinary-Calculator-Android-Java-App                                          Inactive since 2024-02-29
IDouble/Trinary-Calculator-JavaScript                                                Inactive since 2024-02-29
igorconrado/quantum-logistics-case10                                                 Not enough stars (0 < 30)
igormsc/Quantum                                                                      Not enough stars (0 < 30)
IGORSVOLOHOVS/my-microsoft-azure-quantum-learning                                    Not enough stars (1 < 30)
iic-jku/ibm_qx_mapping                                                               Not enough stars (22 < 30)
iic-jku/minimal_ibm_qx_mapping                                                       Not enough stars (9 < 30)
iitis/QSWalk.jl                                                                      Not enough stars (24 < 30)
iitis/quantum-octave                                                                 Not enough stars (13 < 30)
iitis/QuantumWalk.jl                                                                 Not enough stars (23 < 30)
Infin-8/STEADYWATCH-QUANTUM-DEMO                                                     Not enough stars (2 < 30)
intel/vscode-quantum-sdk                                                             Not enough stars (9 < 30)
Intrico-Labs/intrico                                                                 Not enough stars (4 < 30)
IreGaddr/ppflib                                                                      Not enough stars (2 < 30)
irfanghat/QUANTUM_DEVELOPMENT                                                        Not enough stars (1 < 30)
Isan-Rivkin/lamport-signatures-rs                                                    Not enough stars (4 < 30)
isfonzar/quantum-teleportation                                                       Not enough stars (16 < 30)
its2ru3/qdd_rs                                                                       Not enough stars (0 < 30)
itstorque/qasm-circuit-preview                                                       Not enough stars (2 < 30)
itsubaki/bloch                                                                       Not enough stars (1 < 30)
itsubaki/q                                                                           Not enough contributors (2 < 10)
itsubaki/q-rs                                                                        Not enough stars (0 < 30)
itsubaki/qasm                                                                        Not enough stars (17 < 30)
itsubaki/qasm-playground                                                             Not enough stars (0 < 30)
itsubaki/quasar                                                                      Not enough stars (2 < 30)
itsubaki/quasar-ai-agent                                                             Not enough stars (1 < 30)
itsubaki/quasar-mcp-server                                                           Not enough stars (0 < 30)
itsubaki/shor                                                                        Not enough stars (4 < 30)
ivan09069/quantum-bench                                                              Not enough stars (0 < 30)
IvanlcOS/qrag.dev                                                                    Not enough stars (0 < 30)
iwoodsawyer/qalgo                                                                    Not enough stars (0 < 30)
j-sokol/btcq                                                                         Not enough stars (0 < 30)
jadehamel/ETHPublicKeyBruteForce                                                     Not enough stars (4 < 30)
jajapuramshivasai/polyq-core                                                         Not enough stars (1 < 30)
jakelishman/qiskit-qasm2                                                             Archived repository
JakubSchwenkbeck/Quantum-Computer-Simulation                                         Not enough stars (1 < 30)
JakuJ/quantum-explorer                                                               Not enough stars (3 < 30)
janit/spedescript                                                                    Inactive since 2018-03-06
Jason-Fu-git/TDD_CMAKE                                                               Not enough stars (0 < 30)
javpelle/MTQC                                                                        Not enough stars (1 < 30)
jebej/Schrodinger.jl                                                                 Not enough stars (25 < 30)
jhpc-quantum/RIKEN-braket                                                            Not enough stars (20 < 30)
jjbel/quantum_compiler                                                               Not enough stars (2 < 30)
jlapeyre/Qurt.jl                                                                     Not enough stars (5 < 30)
jlasman/quantumstarsystems                                                           Not enough stars (0 < 30)
jmiszczak/hoqus                                                                      Not enough stars (2 < 30)
jobinrjohnson/QSim                                                                   Not enough stars (6 < 30)
johannlilly/microsoft-quantum-computing-foundations                                  Not enough stars (0 < 30)
johanvos/quantumjava                                                                 Inactive since 2024-11-02
jolatechno/QuIDS                                                                     Not enough stars (1 < 30)
josiasold/bp-gbp                                                                     Not enough stars (5 < 30)
jstowers/mit-xpro-large-scale-quantum                                                Not enough stars (0 < 30)
jtaylortech/quant-playground                                                         Archived repository
jtiosue/Quantum-Computer-Simulator-with-Algorithms                                   Not enough stars (25 < 30)
jtmonroe/MatrixProjects                                                              Not enough stars (2 < 30)
JuhoArtturiHemminki/GTCSYN                                                           Not enough stars (0 < 30)
JuhoArtturiHemminki/THE-HEMMINKI-INVARIANT                                           Not enough stars (0 < 30)
JuliaQuantumControl/QuantumControl.jl                                                Not enough contributors (3 < 10)
JuliaQuantumControl/QuOptimalControl.jl                                              Archived repository
JuliaQuantumControl/TwoQubitWeylChamber.jl                                           Not enough stars (2 < 30)
JuliaQUBO/CIMOptimizer.jl                                                            Not enough stars (2 < 30)
JuliaQUBO/DWave.jl                                                                   Not enough stars (13 < 30)
JuliaQUBO/QUBO.jl                                                                    Not enough contributors (3 < 10)
JustinWoodring/qubit-simulator                                                       Not enough stars (0 < 30)
jwulf/HGate                                                                          Not enough stars (7 < 30)
kagwave/socc                                                                         Not enough stars (0 < 30)
KaiNorberg/QuantCompute                                                              Not enough stars (4 < 30)
kaio007/Golden-Sieve---NASA-LunaRecycle-Challenge-2025                               Not enough stars (0 < 30)
kamakiri01/qulacs-wasm                                                               Not enough stars (12 < 30)
kantner/valley-splitting                                                             Not enough stars (0 < 30)
Kawyn/quantum-boolean                                                                Not enough stars (1 < 30)
KevinFasusi/qrng                                                                     Not enough stars (1 < 30)
KevinFasusi/qrng-gui                                                                 Not enough stars (0 < 30)
khernyo/qc-playground                                                                Not enough stars (1 < 30)
killianlutz/Magicarp                                                                 Not enough stars (1 < 30)
kkKaan/metu-ceng-THEs                                                                Not enough stars (5 < 30)
kocherzhenko/Quantum                                                                 Not enough stars (2 < 30)
KOSASIH/qn-tech                                                                      Inactive since 2025-03-04
KOSASIH/QPi-Stablecoin                                                               Inactive since 2025-03-25
KOSASIH/QuantumChain                                                                 Not enough stars (21 < 30)
KOSASIH/unixroz-core                                                                 Not enough stars (18 < 30)
kpobrien/JosephsonCircuits.jl                                                        Not enough contributors (5 < 10)
Kraks/quantum-compiler                                                               Not enough stars (17 < 30)
KristinaP09/FedHK-MVFC                                                               Not enough stars (1 < 30)
kristinaxm/kitty-quantum-core                                                        Not enough stars (1 < 30)
ksingh66/Q-RTX                                                                       Not enough stars (1 < 30)
kukushechkin/very-rusty-noisy-qubit                                                  Not enough stars (0 < 30)
KyGost/QCT                                                                           Not enough stars (1 < 30)
l-krrish/quantum-emulator                                                            Not enough stars (0 < 30)
labyedh/CogniVoice                                                                   Not enough stars (1 < 30)
LambdaSection/Metatron                                                               Not enough stars (5 < 30)
LashSesh/QRADIANCE                                                                   Not enough stars (1 < 30)
LashSesh/qso                                                                         Not enough stars (4 < 30)
latticesurgery-com/web-ui                                                            Not enough stars (7 < 30)
LaurentNevou/Q_Poisson1D                                                             Not enough stars (8 < 30)
LaurentNevou/Q_Schrodinger1D_1band                                                   Not enough stars (13 < 30)
LaurentNevou/Q_Schrodinger1D_demo                                                    Not enough stars (17 < 30)
LaurentNevou/Q_Schrodinger1D_multiband_ZB                                            Not enough stars (11 < 30)
LaurentNevou/Q_Schrodinger1D_ZB                                                      Not enough stars (7 < 30)
LaurentNevou/Q_Schrodinger2D_demo                                                    Not enough stars (28 < 30)
LaurentNevou/Q_Schrodinger2D_FEM_sq                                                  Not enough stars (6 < 30)
LaurentNevou/Q_Schrodinger3D_demo                                                    Not enough stars (14 < 30)
LaurentNevou/Q_SchrodingerPoisson1D_demo                                             Not enough stars (26 < 30)
laurgao/maxcut-frontend                                                              Not enough stars (1 < 30)
le-hachem/psi                                                                        Not enough stars (1 < 30)
leespen1/QuantumGateDesign.jl                                                        Not enough stars (19 < 30)
lekesiz/RSN                                                                          Not enough stars (1 < 30)
LelsersLasers/LinkedInPuzzleGameHelpers                                              Not enough stars (5 < 30)
LeonardEyer/cuMPS                                                                    Not enough stars (1 < 30)
Lethabo3/poton                                                                       Not enough stars (0 < 30)
lhprojects/QuSim                                                                     Not enough stars (7 < 30)
libtangle/qcgpu-cpp                                                                  Archived repository
lirfu/ECF-GeneticAlgorithmInspiredByQuantumMechanics                                 Not enough stars (4 < 30)
LiveBacteria/QNNF-Theory-Integration                                                 Not enough stars (2 < 30)
lmarangio/Quantum_computing_foundations                                              Not enough stars (0 < 30)
logicalguess/quantum-java                                                            Not enough stars (3 < 30)
logicalguess/quantum-scala                                                           Not enough stars (9 < 30)
Lorddf2001/QCSimulator                                                               Not enough stars (0 < 30)
LordSaumya/quant-iron                                                                Not enough stars (16 < 30)
lukkyye/qubit-rep                                                                    Not enough stars (0 < 30)
Lumorti/Quandoom                                                                     Inactive since 2024-12-20
Luxbin-labs/luxbin-lang                                                              Not enough stars (1 < 30)
Luxbin-labs/luxbin-quantum-academy                                                   Not enough stars (0 < 30)
lwsm99/QuantumComputerSimulation                                                     Not enough stars (0 < 30)
madanimkhitar22-beep/PiQuantum-Nexus                                                 Not enough stars (1 < 30)
Mahir101/quantic-rust                                                                Not enough stars (3 < 30)
MainakVerse/QuantumSam                                                               Not enough stars (13 < 30)
MalikAyaz29/Quantum-Search-Simulator                                                 Not enough stars (0 < 30)
mapmeld/jsquil                                                                       Inactive since 2020-06-24
mapmeld/quantum-circuit-viz                                                          Not enough stars (2 < 30)
mapmeld/quantum-peep                                                                 Inactive since 2023-01-03
MarcNairn/SpinOrg                                                                    Not enough stars (0 < 30)
marek-miller/qn                                                                      Not enough stars (1 < 30)
marek-miller/quest_bind                                                              Not enough stars (0 < 30)
mariiatuzovska/shors-algorithm                                                       Not enough stars (0 < 30)
marklong-pg/k-forrelation-dataset                                                    Not enough stars (0 < 30)
MartinCastroAlvarez/quantum-algorithms-java                                          Not enough stars (0 < 30)
matteoacrossi/QuantumSpatialSearch                                                   Not enough stars (3 < 30)
mattladany/quantum                                                                   Not enough stars (0 < 30)
mattrltrent/quantum_crafter                                                          Not enough stars (12 < 30)
maximkha/QVM                                                                         Not enough stars (1 < 30)
maziyar-redox/QuantumComputerForComputerScientists-Exercises                         Not enough stars (0 < 30)
mbrobbel/dqcsim-openqasm                                                             Archived repository
Mc-Zen/htgrouper                                                                     Not enough stars (13 < 30)
Mc-Zen/qe                                                                            Not enough stars (2 < 30)
mcpeblocker/quantum-resources.info                                                   Not enough stars (2 < 30)
Menth1996/quantum-ml-library                                                         Not enough stars (0 < 30)
