file_path,concept_name,ground_truth_pattern,similarity_score,predicted_pattern,pred_score,match
qualtran/bloqs/basic_gates/z_basis.py,_ZVector,Circuit Construction Utility,,,,
qualtran/bloqs/block_encoding/block_encoding_base.py,BlockEncoding,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/chebyshev_polynomial.py,ChebyshevPolynomial,Linear Combination of Unitaries,,Amplitude Amplification,0.9078,0
qualtran/bloqs/block_encoding/lcu_block_encoding.py,SelectBlockEncoding,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/linear_combination.py,LinearCombination,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/phase.py,Phase,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/product.py,Product,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/sparse_matrix.py,RowColumnOracle,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/sparse_matrix_hermitian.py,SqrtEntryOracle,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/tensor_product.py,TensorProduct,Linear Combination of Unitaries,,,,
qualtran/bloqs/block_encoding/unitary.py,Unitary,Linear Combination of Unitaries,,,,
qualtran/bloqs/bookkeeping/allocate.py,Allocate,Uncompute,,,,
qualtran/bloqs/bookkeeping/always.py,Always,Circuit Construction Utility,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/bookkeeping/arbitrary_clifford.py,ArbitraryClifford,Circuit Construction Utility,,,,
qualtran/bloqs/bookkeeping/auto_partition.py,Unused,Circuit Construction Utility,,,,
qualtran/bloqs/bookkeeping/cast.py,Cast,Circuit Construction Utility,,,,
qualtran/bloqs/bookkeeping/free.py,Free,Uncompute,,,,
qualtran/bloqs/bookkeeping/join.py,Join,Circuit Construction Utility,,,,
qualtran/bloqs/bookkeeping/partition.py,_PartitionBase,Circuit Construction Utility,,,,
qualtran/bloqs/bookkeeping/split.py,Split,Circuit Construction Utility,,,,
qualtran/bloqs/chemistry/black_boxes.py,QROAM,Domain Specific Application,,,,
qualtran/bloqs/chemistry/df/double_factorization.py,DoubleFactorizationOneBody,Hamiltonian Simulation,,Amplitude Amplification,0.9078,0
qualtran/bloqs/chemistry/df/prepare.py,InnerPrepareDoubleFactorization,Linear Combination of Unitaries,0.6778,,,
qualtran/bloqs/chemistry/df/select_bloq.py,ProgRotGateArray,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/hubbard_model/qubitization/prepare_hubbard.py,PrepareHubbard,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/hubbard_model/qubitization/select_hubbard.py,SelectHubbard,Linear Combination of Unitaries,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/chemistry/pbc/first_quantization/prepare.py,UniformSuperpositionIJFirstQuantization,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/prepare_nu.py,PrepareMuUnaryEncodedOneHot,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/prepare_t.py,PreparePowerTwoState,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/prepare_uv.py,PrepareUVFirstQuantization,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/prepare_zeta.py,PrepareZetaState,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/prepare_nu.py,PrepareMuUnaryEncodedOneHotWithProj,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/prepare_t.py,PreparePowerTwoStateWithProj,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/prepare_uv.py,PrepareUVFirstQuantizationWithProj,Initialization,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/select_and_prepare.py,PrepareTUVSuperpositions,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/select_t.py,SelectTFirstQuantizationWithProj,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/projectile/select_uv.py,SelectUVFirstQuantizationWithProj,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/select_and_prepare.py,PrepareTUVSuperpositions,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/select_t.py,SelectTFirstQuantization,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/pbc/first_quantization/select_uv.py,ApplyNuclearPhase,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/quad_fermion/givens_bloq.py,RealGivensRotationByPhaseGradient,Initialization,,,,
qualtran/bloqs/chemistry/sf/prepare.py,InnerPrepareSingleFactorization,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/sf/select_bloq.py,SelectSingleFactorization,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/sf/single_factorization.py,SingleFactorizationOneBody,Hamiltonian Simulation,,Amplitude Amplification,0.9078,0
qualtran/bloqs/chemistry/sparse/prepare.py,PrepareSparse,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/sparse/select_bloq.py,SelectSparse,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/thc/prepare.py,UniformSuperpositionTHC,Linear Combination of Unitaries,,Amplitude Amplification,0.9078,0
qualtran/bloqs/chemistry/thc/select_bloq.py,THCRotations,Linear Combination of Unitaries,,,,
qualtran/bloqs/chemistry/trotter/grid_ham/inverse_sqrt.py,NewtonRaphsonApproxInverseSquareRoot,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/grid_ham/kinetic.py,KineticEnergy,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/grid_ham/potential.py,PairPotential,Hamiltonian Simulation,1.0,Data Encoding,1.0,0
qualtran/bloqs/chemistry/trotter/grid_ham/qvr.py,QuantumVariableRotation,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/hubbard/hopping.py,HoppingPlaquette,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/hubbard/interaction.py,Interaction,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/ising/unitaries.py,IsingXUnitary,Hamiltonian Simulation,,,,
qualtran/bloqs/chemistry/trotter/trotterized_unitary.py,TrotterizedUnitary,Hamiltonian Simulation,,,,
qualtran/bloqs/cryptography/ecc/ec_add.py,_ECAddStepOne,Quantum Arithmetic,,,,
qualtran/bloqs/cryptography/ecc/ec_add_r.py,ECAddR,Quantum Arithmetic,,,,
qualtran/bloqs/cryptography/ecc/ec_phase_estimate_r.py,ECPhaseEstimateR,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/cryptography/ecc/ec_point.py,ECPoint,Domain Specific Application,,,,
qualtran/bloqs/cryptography/ecc/find_ecc_private_key.py,FindECCPrivateKey,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/cryptography/rsa/rsa_mod_exp.py,ModExp,Quantum Arithmetic,1.0,Quantum Arithmetic,1.0,1
qualtran/bloqs/cryptography/rsa/rsa_phase_estimate.py,RSAPhaseEstimate,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/data_loading/qroam_clean.py,QROAMCleanAdjoint,Data Encoding,,,,
qualtran/bloqs/data_loading/qrom.py,QROM,Data Encoding,1.0,Data Encoding,1.0,1
qualtran/bloqs/data_loading/qrom_base.py,QROMBase,Data Encoding,,,,
qualtran/bloqs/data_loading/select_swap_qrom.py,SelectSwapQROM,Data Encoding,,,,
qualtran/bloqs/gf_arithmetic/gf2_add_k.py,GF2AddK,Quantum Arithmetic,,,,
qualtran/bloqs/gf_arithmetic/gf2_addition.py,GF2Addition,Quantum Arithmetic,,,,
qualtran/bloqs/gf_arithmetic/gf2_inverse.py,GF2Inverse,Quantum Arithmetic,,,,
qualtran/bloqs/gf_arithmetic/gf2_multiplication.py,SynthesizeLRCircuit,Quantum Arithmetic,,,,
qualtran/bloqs/gf_arithmetic/gf2_square.py,GF2Square,Quantum Arithmetic,,,,
qualtran/bloqs/gf_poly_arithmetic/gf2_poly_add.py,GF2PolyAdd,Quantum Arithmetic,,,,
qualtran/bloqs/gf_poly_arithmetic/gf2_poly_add_k.py,GF2PolyAddK,Quantum Arithmetic,,,,
qualtran/bloqs/gf_poly_arithmetic/gf_poly_split_and_join.py,GFPolySplit,Quantum Arithmetic,,,,
qualtran/bloqs/hamiltonian_simulation/guided_hamiltonian.py,GuidedHamiltonianPhaseEstimation,Quantum Phase Estimation (QPE),0.9036,Quantum Phase Estimation (QPE),0.9191,1
qualtran/bloqs/hamiltonian_simulation/hamiltonian_simulation_by_gqsp.py,HamiltonianSimulationByGQSP,Hamiltonian Simulation,,,,
qualtran/bloqs/mcmt/and_bloq.py,And,Quantum Logical Operators,1.0,Quantum Logical Operators,1.0,1
qualtran/bloqs/mcmt/classically_controlled.py,ClassicallyControlled,Quantum Logical Operators,,,,
qualtran/bloqs/mcmt/controlled_via_and.py,ControlledViaAnd,Quantum Logical Operators,1.0,Quantum Arithmetic,1.0,0
qualtran/bloqs/mcmt/ctrl_spec_and.py,CtrlSpecAnd,Quantum Logical Operators,1.0,Quantum Logical Operators,1.0,1
qualtran/bloqs/mcmt/multi_control_pauli.py,MultiControlPauliBase,Quantum Logical Operators,,,,
qualtran/bloqs/mcmt/multi_target_cnot.py,MultiTargetCNOT,Quantum Logical Operators,,,,
qualtran/bloqs/mcmt/specialized_ctrl.py,_MultiControlledFromSinglyControlled,Quantum Logical Operators,1.0,Quantum Logical Operators,1.0,1
qualtran/bloqs/mean_estimation/complex_phase_oracle.py,ComplexPhaseOracle,Quantum Amplitude Estimation,,,,
qualtran/bloqs/mean_estimation/mean_estimation_operator.py,CodeForRandomVariable,Quantum Amplitude Estimation,,,,
qualtran/bloqs/mod_arithmetic/mod_addition.py,ModAdd,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/mod_arithmetic/mod_division.py,_KaliskiIterationStep1,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/mod_arithmetic/mod_multiplication.py,ModDbl,Quantum Arithmetic,,,,
qualtran/bloqs/mod_arithmetic/mod_subtraction.py,ModNeg,Quantum Arithmetic,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/multiplexers/apply_gate_to_lth_target.py,ApplyGateToLthQubit,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/apply_lth_bloq.py,ApplyLthBloq,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/black_box_select.py,BlackBoxSelect,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/select_base.py,SelectOracle,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/select_pauli_lcu.py,SelectPauliLCU,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/selected_majorana_fermion.py,SelectedMajoranaFermion,Circuit Construction Utility,,,,
qualtran/bloqs/multiplexers/unary_iteration_bloq.py,UnaryIterationGate,Circuit Construction Utility,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/optimization/k_xor_sat/kikuchi_adjacency_list.py,ColumnOfKthNonZeroEntry,Linear Combination of Unitaries,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/optimization/k_xor_sat/kikuchi_adjacency_matrix.py,KikuchiMatrixEntry,Linear Combination of Unitaries,,,,
qualtran/bloqs/optimization/k_xor_sat/kikuchi_block_encoding.py,BlackBoxKikuchiEntryOracle,Linear Combination of Unitaries,,,,
qualtran/bloqs/optimization/k_xor_sat/kikuchi_guiding_state.py,SimpleGuidingState,Initialization,,,,
qualtran/bloqs/optimization/k_xor_sat/kxor_instance.py,Constraint,Domain Specific Application,,,,
qualtran/bloqs/optimization/k_xor_sat/load_kxor_instance.py,LoadConstraintScopes,Data Encoding,,,,
qualtran/bloqs/phase_estimation/kaiser_window_state.py,KaiserWindowState,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/phase_estimation/lp_resource_state.py,LPRSInterimPrep,Quantum Phase Estimation (QPE),,Amplitude Amplification,0.9078,0
qualtran/bloqs/phase_estimation/qpe_window_state.py,QPEWindowStateBase,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/phase_estimation/qubitization_qpe.py,QubitizationQPE,Quantum Phase Estimation (QPE),0.9036,,,
qualtran/bloqs/phase_estimation/text_book_qpe.py,TextbookQPE,Quantum Phase Estimation (QPE),,,,
qualtran/bloqs/qft/approximate_qft.py,ApproximateQFT,Basis Change,,,,
qualtran/bloqs/qft/qft_phase_gradient.py,QFTPhaseGradient,Basis Change,,,,
qualtran/bloqs/qft/qft_text_book.py,QFTTextBook,Basis Change,,,,
qualtran/bloqs/qft/two_bit_ffft.py,TwoBitFFFT,Basis Change,,,,
qualtran/bloqs/qsp/fast_qsp.py,FastComplementaryQSPHelper,Circuit Construction Utility,,,,
qualtran/bloqs/qsp/generalized_qsp.py,GeneralizedQSP,Circuit Construction Utility,,,,
qualtran/bloqs/qubitization/qubitization_walk_operator.py,QubitizationWalkOperator,Hamiltonian Simulation,,,,
qualtran/bloqs/reflections/prepare_identity.py,PrepareIdentity,Amplitude Amplification,,,,
qualtran/bloqs/reflections/reflection_using_prepare.py,ReflectionUsingPrepare,Amplitude Amplification,,Amplitude Amplification,0.9078,1
qualtran/bloqs/rotations/hamming_weight_phasing.py,HammingWeightPhasing,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/phase_gradient.py,PhaseGradientUnitary,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/phasing_via_cost_function.py,PhasingViaCostFunction,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/programmable_ancilla_rotation.py,ZPowProgrammedAncilla,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/programmable_rotation_gate_array.py,ProgrammableRotationGateArrayBase,Circuit Construction Utility,1.0,Data Encoding,1.0,0
qualtran/bloqs/rotations/quantum_variable_rotation.py,QvrInterface,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/rz_via_phase_gradient.py,RzViaPhaseGradient,Circuit Construction Utility,,,,
qualtran/bloqs/rotations/zpow_via_phase_gradient.py,ZPowConstViaPhaseGradient,Circuit Construction Utility,,,,
qualtran/bloqs/state_preparation/black_box_prepare.py,BlackBoxPrepare,Initialization,,,,
qualtran/bloqs/state_preparation/prepare_base.py,PrepareOracle,Initialization,,,,
qualtran/bloqs/state_preparation/prepare_uniform_superposition.py,PrepareUniformSuperposition,Initialization,1.0,Quantum Logical Operators,1.0,0
qualtran/bloqs/state_preparation/sparse_state_preparation_via_rotations.py,SparseStatePreparationViaRotations,Initialization,,,,
qualtran/bloqs/state_preparation/state_preparation_alias_sampling.py,StatePreparationAliasSampling,Initialization,1.0,Data Encoding,1.0,0
qualtran/bloqs/state_preparation/state_preparation_via_rotation.py,StatePreparationViaRotations,Initialization,1.0,Data Encoding,1.0,0
qualtran/bloqs/swap_network/cswap_approx.py,CSwapApprox,SWAP Test,,,,
qualtran/bloqs/swap_network/multiplexed_cswap.py,MultiplexedCSwap,SWAP Test,,,,
qualtran/bloqs/swap_network/swap_with_zero.py,SwapWithZero,SWAP Test,,,,
